date,sectors
2014-07-31,"THEME|Healthcare Providers, THEME|Gold & Precious Metals Miners, THEME|Uranium & Nuclear, THEME|Semiconductors, THEME|Food & Beverage"
2014-09-30,"THEME|Semiconductors, THEME|Food & Beverage, THEME|Insurance, THEME|Healthcare Providers, THEME|Uranium & Nuclear"
2014-11-28,"THEME|Semiconductors, THEME|Healthcare Providers, THEME|Food & Beverage, THEME|Insurance, THEME|Uranium & Nuclear"
2015-01-30,"THEME|Biotech, THEME|Healthcare Providers, THEME|Food & Beverage, THEME|Semiconductors, THEME|Insurance"
2015-03-31,"THEME|Healthcare Providers, THEME|Food & Beverage, THEME|Biotech, THEME|Insurance, THEME|Semiconductors"
2015-05-29,"THEME|Biotech, THEME|Healthcare Providers, THEME|Semiconductors, THEME|Food & Beverage, THEME|Insurance"
2015-07-31,"THEME|Insurance, THEME|Biotech, THEME|Food & Beverage, THEME|Healthcare Providers, THEME|Semiconductors"
2015-09-30,"THEME|Food & Beverage, THEME|Insurance, THEME|Semiconductors, THEME|Defense, THEME|Healthcare Providers"
2015-11-30,"THEME|Semiconductors, THEME|Defense, THEME|Insurance, THEME|Food & Beverage, THEME|Healthcare Providers"
2016-01-29,"THEME|Food & Beverage, THEME|Semiconductors, THEME|Insurance, THEME|Defense, THEME|Healthcare Providers"
2016-03-31,"THEME|Uranium & Nuclear, THEME|Semiconductors, THEME|Defense, THEME|Insurance, THEME|Food & Beverage"
2016-05-31,"THEME|Semiconductors, THEME|Insurance, THEME|Defense, THEME|Food & Beverage, THEME|Uranium & Nuclear"
2016-07-29,"THEME|Biotech, THEME|Semiconductors, THEME|Defense, THEME|Food & Beverage, THEME|Insurance"
2016-09-30,"THEME|Biotech, THEME|Semiconductors, THEME|Cybersecurity, THEME|Defense, THEME|Insurance"
2016-11-30,"THEME|Defense, THEME|Semiconductors, THEME|Insurance, THEME|Biotech, THEME|Cybersecurity"
2017-01-31,"THEME|Semiconductors, THEME|Cybersecurity, THEME|Defense, THEME|Insurance, THEME|Biotech"
2017-03-31,"THEME|Cybersecurity, THEME|Semiconductors, THEME|Biotech, THEME|Defense, THEME|Insurance"
2017-05-31,"THEME|Semiconductors, THEME|Lithium & Battery, THEME|Defense, THEME|Cybersecurity, THEME|Insurance"
2017-07-31,"THEME|Artificial Intelligence & Robotics, THEME|Lithium & Battery, THEME|Defense, THEME|Insurance, THEME|Semiconductors"
2017-09-29,"THEME|Lithium & Battery, THEME|Defense, THEME|Artificial Intelligence & Robotics, THEME|Semiconductors, THEME|Insurance"
2017-11-30,"THEME|Artificial Intelligence & Robotics, THEME|Lithium & Battery, THEME|Defense, THEME|Semiconductors, THEME|Insurance"
2018-01-31,"THEME|Biotech, THEME|Artificial Intelligence & Robotics, THEME|Defense, THEME|Semiconductors, THEME|Insurance"
2018-03-29,"THEME|Defense, THEME|Insurance, THEME|Semiconductors, THEME|Artificial Intelligence & Robotics, THEME|Biotech"
2018-05-31,"THEME|Healthcare Providers, THEME|Biotech, THEME|Semiconductors, THEME|Defense, THEME|Insurance"
2018-07-31,"THEME|Defense, THEME|Healthcare Providers, THEME|Insurance, THEME|Semiconductors, THEME|Biotech"
2018-09-28,"THEME|Healthcare Providers, THEME|Defense, THEME|Insurance, THEME|Semiconductors, THEME|Biotech"
2018-11-30,"THEME|Healthcare Providers, THEME|Insurance, THEME|Semiconductors, THEME|Biotech, THEME|Defense"
2019-01-31,"THEME|Semiconductors, THEME|Defense, THEME|Biotech, THEME|Healthcare Providers, THEME|Insurance"
2019-03-29,"THEME|Semiconductors, THEME|Gold & Precious Metals Miners, THEME|Artificial Intelligence & Robotics, THEME|Biotech, THEME|Defense"
2019-05-31,"THEME|Clean Energy, THEME|Gold & Precious Metals Miners, THEME|Defense, THEME|Biotech, THEME|Artificial Intelligence & Robotics"
2019-07-31,"THEME|Gold & Precious Metals Miners, THEME|Clean Energy, THEME|Defense, THEME|Biotech, THEME|Artificial Intelligence & Robotics"
2019-09-30,"THEME|Defense, THEME|Insurance, THEME|Gold & Precious Metals Miners, THEME|Artificial Intelligence & Robotics, THEME|Clean Energy"
2019-11-29,"THEME|Artificial Intelligence & Robotics, THEME|Defense, THEME|Clean Energy, THEME|Insurance, THEME|Gold & Precious Metals Miners"
2020-01-31,"THEME|Clean Energy, THEME|Gold & Precious Metals Miners, THEME|Defense, THEME|Insurance, THEME|Artificial Intelligence & Robotics"
2020-03-31,"THEME|Cybersecurity, THEME|Artificial Intelligence & Robotics, THEME|Biotech, THEME|Gold & Precious Metals Miners, THEME|Clean Energy"
2020-05-29,"THEME|Artificial Intelligence & Robotics, THEME|Cybersecurity, THEME|Biotech, THEME|Clean Energy, THEME|Gold & Precious Metals Miners"
2020-07-31,"THEME|Gold & Precious Metals Miners, THEME|Blockchain & Crypto, THEME|Clean Energy, THEME|Cybersecurity, THEME|Artificial Intelligence & Robotics"
2020-09-30,"THEME|Clean Energy, THEME|Lithium & Battery, THEME|Artificial Intelligence & Robotics, THEME|Blockchain & Crypto, THEME|Cybersecurity"
2020-11-30,"THEME|Clean Energy, THEME|Blockchain & Crypto, THEME|Lithium & Battery, THEME|Artificial Intelligence & Robotics, THEME|Cybersecurity"
2021-01-29,"THEME|Lithium & Battery, THEME|Blockchain & Crypto, THEME|Clean Energy, THEME|Cybersecurity, THEME|Artificial Intelligence & Robotics"
2021-03-31,"THEME|Blockchain & Crypto, THEME|Uranium & Nuclear, THEME|Data Centers & Digital Infra, THEME|Artificial Intelligence & Robotics, THEME|Cybersecurity"
2021-05-28,"THEME|Uranium & Nuclear, THEME|Gold & Precious Metals Miners, THEME|Lithium & Battery, THEME|Cybersecurity, THEME|Data Centers & Digital Infra"
2021-07-30,"THEME|Lithium & Battery, THEME|Cybersecurity, THEME|Semiconductors, THEME|Quantum Computing, THEME|Data Centers & Digital Infra"
2021-09-30,"THEME|Uranium & Nuclear, THEME|Lithium & Battery, THEME|Quantum Computing, THEME|Cybersecurity, THEME|Semiconductors"
2021-11-30,"THEME|Semiconductors, THEME|Lithium & Battery, THEME|Data Centers & Digital Infra, THEME|Quantum Computing, THEME|Cybersecurity"
2022-01-31,"THEME|Cybersecurity, THEME|Quantum Computing, THEME|Data Centers & Digital Infra, THEME|Semiconductors, THEME|Lithium & Battery"
2022-03-31,"THEME|Uranium & Nuclear, THEME|Gold & Precious Metals Miners, THEME|Cybersecurity, THEME|Lithium & Battery, THEME|Data Centers & Digital Infra"
2022-05-31,"THEME|Lithium & Battery, THEME|Clean Energy, THEME|Data Centers & Digital Infra, THEME|Uranium & Nuclear"
2022-07-29,"THEME|Clean Energy, THEME|Uranium & Nuclear, THEME|Lithium & Battery, THEME|Data Centers & Digital Infra"
2022-09-30,"THEME|Healthcare Providers, THEME|Food & Beverage, THEME|Uranium & Nuclear, THEME|Lithium & Battery, THEME|Clean Energy"
2022-11-30,"THEME|Gold & Precious Metals Miners, THEME|Insurance, THEME|Food & Beverage, THEME|Healthcare Providers, THEME|Clean Energy"
2023-01-31,"THEME|Gold & Precious Metals Miners, THEME|Artificial Intelligence & Robotics, THEME|Uranium & Nuclear, THEME|Semiconductors, THEME|Insurance"
2023-03-31,"THEME|Artificial Intelligence & Robotics, THEME|Gold & Precious Metals Miners, THEME|Semiconductors, THEME|Insurance, THEME|Uranium & Nuclear"
2023-05-31,"THEME|Semiconductors, THEME|Artificial Intelligence & Robotics, THEME|Quantum Computing, THEME|Cybersecurity, THEME|Uranium & Nuclear"
2023-07-31,"THEME|Semiconductors, THEME|Quantum Computing, THEME|Cybersecurity, THEME|Uranium & Nuclear, THEME|Artificial Intelligence & Robotics"
2023-09-29,"THEME|Uranium & Nuclear, THEME|Cybersecurity, THEME|Semiconductors, THEME|Quantum Computing, THEME|Artificial Intelligence & Robotics"
2023-11-30,"THEME|Uranium & Nuclear, THEME|Cybersecurity, THEME|Artificial Intelligence & Robotics, THEME|Semiconductors, THEME|Quantum Computing"
2024-01-31,"THEME|Semiconductors, THEME|Cybersecurity, THEME|Uranium & Nuclear, THEME|Quantum Computing, THEME|Artificial Intelligence & Robotics"
2024-03-28,"THEME|Blockchain & Crypto, THEME|Semiconductors, THEME|Uranium & Nuclear, THEME|Artificial Intelligence & Robotics, THEME|Quantum Computing"
2024-05-31,"THEME|Uranium & Nuclear, THEME|Semiconductors, THEME|Blockchain & Crypto, THEME|Quantum Computing, THEME|Artificial Intelligence & Robotics"
2024-07-31,"THEME|Space, THEME|Defense, THEME|Biotech, THEME|Blockchain & Crypto, THEME|Quantum Computing"
2024-09-30,"THEME|Lithium & Battery, THEME|Data Centers & Digital Infra, THEME|Defense, THEME|Blockchain & Crypto, THEME|Space"
2024-11-29,"THEME|Space, THEME|Blockchain & Crypto, THEME|Data Centers & Digital Infra, THEME|Lithium & Battery, THEME|Defense"
2025-01-31,"THEME|Space, THEME|Blockchain & Crypto, THEME|AgTech & Food Innovation, THEME|Quantum Computing, THEME|Defense"
2025-03-31,"THEME|Defense, THEME|AgTech & Food Innovation, THEME|Space, THEME|Quantum Computing, THEME|Blockchain & Crypto"
2025-05-30,"THEME|Blockchain & Crypto, THEME|Defense, THEME|Quantum Computing, THEME|Space, THEME|AgTech & Food Innovation"
2025-07-31,"THEME|Blockchain & Crypto, THEME|Defense, THEME|Quantum Computing, THEME|Space, THEME|AgTech & Food Innovation"
2025-09-30,"THEME|Lithium & Battery, THEME|Blockchain & Crypto, THEME|Space, THEME|Quantum Computing, THEME|Defense"
2025-11-28,"THEME|Biotech, THEME|Lithium & Battery, THEME|Space, THEME|Quantum Computing, THEME|Defense"
2026-01-30,"THEME|Space, THEME|Lithium & Battery, THEME|Biotech, THEME|Quantum Computing, THEME|Defense"
2026-03-31,"THEME|Lithium & Battery, THEME|Biotech, THEME|Space, THEME|Quantum Computing"
2026-05-29,"THEME|Space, THEME|Semiconductors, THEME|Quantum Computing, THEME|Lithium & Battery, THEME|Biotech"
2026-07-31,"THEME|Insurance, THEME|Cybersecurity, THEME|Biotech, THEME|Quantum Computing"
