date,sectors
2011-06-24,"THEME|Food & Beverage, THEME|Healthcare Providers, THEME|Medical Devices"
2011-07-01,"THEME|Food & Beverage, THEME|Healthcare Providers, THEME|Medical Devices"
2011-07-08,"THEME|Medical Devices, THEME|Healthcare Providers, THEME|Food & Beverage"
2011-07-15,"THEME|Food & Beverage, THEME|Medical Devices, THEME|Healthcare Providers"
2011-07-22,"THEME|Food & Beverage, THEME|Medical Devices, THEME|Healthcare Providers"
2011-07-29,"THEME|Gold & Precious Metals Miners, THEME|Food & Beverage, THEME|Medical Devices"
2011-08-05,"THEME|Gold & Precious Metals Miners, THEME|Food & Beverage, THEME|Medical Devices"
2011-08-12,"THEME|Gold & Precious Metals Miners, THEME|Food & Beverage, THEME|Medical Devices"
2011-08-19,"THEME|Gold & Precious Metals Miners, THEME|Food & Beverage, THEME|Medical Devices"
2011-08-26,"THEME|Gold & Precious Metals Miners, THEME|Food & Beverage, THEME|Medical Devices"
2011-09-02,"THEME|Gold & Precious Metals Miners, THEME|Food & Beverage, THEME|Medical Devices"
2011-09-09,"THEME|Gold & Precious Metals Miners, THEME|Food & Beverage, THEME|Medical Devices"
2011-09-16,"THEME|Gold & Precious Metals Miners, THEME|Food & Beverage, THEME|Medical Devices"
2011-09-23,"THEME|Food & Beverage, THEME|Medical Devices, THEME|Gold & Precious Metals Miners"
2011-09-30,"THEME|Defense, THEME|Medical Devices, THEME|Food & Beverage"
2011-10-07,"THEME|Defense, THEME|Food & Beverage, THEME|Medical Devices"
2011-10-14,"THEME|Food & Beverage, THEME|Defense, THEME|Medical Devices"
2011-10-21,"THEME|Energy Producers, THEME|Food & Beverage, THEME|Defense"
2011-10-28,"THEME|Insurance, THEME|Energy Producers, THEME|Defense"
2011-11-04,"THEME|Insurance, THEME|Defense, THEME|Energy Producers"
2011-11-11,"THEME|Defense, THEME|Energy Producers, THEME|Insurance"
2011-11-18,"THEME|Defense, THEME|Energy Producers, THEME|Insurance"
2011-11-25,"THEME|Defense, THEME|Insurance, THEME|Energy Producers"
2011-12-02,"THEME|Defense, THEME|Insurance, THEME|Energy Producers"
2011-12-09,"THEME|Insurance, THEME|Defense, THEME|Energy Producers"
2011-12-16,"THEME|Insurance, THEME|Defense, THEME|Energy Producers"
2011-12-23,"THEME|Defense, THEME|Insurance, THEME|Energy Producers"
2011-12-30,"THEME|Energy Producers, THEME|Defense, THEME|Insurance"
2012-01-06,"THEME|Energy Producers, THEME|Insurance, THEME|Defense"
2012-01-13,"THEME|Defense, THEME|Insurance, THEME|Energy Producers"
2012-01-20,"THEME|Biotech, THEME|Insurance, THEME|Defense"
2012-01-27,"THEME|Biotech, THEME|Defense, THEME|Insurance"
2012-02-03,"THEME|Biotech, THEME|Insurance, THEME|Defense"
2012-02-10,"THEME|Biotech, THEME|Defense, THEME|Insurance"
2012-02-17,"THEME|Insurance, THEME|Defense, THEME|Biotech"
2012-02-24,"THEME|Uranium & Nuclear, THEME|Insurance, THEME|Defense"
2012-03-02,"THEME|Uranium & Nuclear, THEME|Insurance, THEME|Defense"
2012-03-09,"THEME|Healthcare Providers, THEME|Insurance, THEME|Defense"
2012-03-16,"THEME|Insurance, THEME|Defense, THEME|Healthcare Providers"
2012-03-23,"THEME|Insurance, THEME|Defense, THEME|Healthcare Providers"
2012-03-30,"THEME|Healthcare Providers, THEME|Insurance, THEME|Defense"
2012-04-05,"THEME|Healthcare Providers, THEME|Insurance, THEME|Defense"
2012-04-13,"THEME|Healthcare Providers, THEME|Insurance, THEME|Defense"
2012-04-20,"THEME|Healthcare Providers, THEME|Defense, THEME|Insurance"
2012-04-27,"THEME|Insurance, THEME|Defense, THEME|Healthcare Providers"
2012-05-04,"THEME|Biotech, THEME|Insurance, THEME|Defense"
2012-05-11,"THEME|Biotech, THEME|Insurance, THEME|Defense"
2012-05-18,"THEME|Biotech, THEME|Defense, THEME|Insurance"
2012-05-25,"THEME|Biotech, THEME|Defense, THEME|Insurance"
2012-06-01,"THEME|Biotech, THEME|Defense, THEME|Insurance"
2012-06-08,"THEME|Biotech, THEME|Insurance, THEME|Defense"
2012-06-15,"THEME|Biotech, THEME|Insurance, THEME|Defense"
2012-06-22,"THEME|Biotech, THEME|Defense, THEME|Insurance"
2012-06-29,"THEME|Biotech, THEME|Defense, THEME|Insurance"
2012-07-06,"THEME|Biotech, THEME|Defense, THEME|Insurance"
2012-07-13,"THEME|Biotech, THEME|Insurance, THEME|Defense"
2012-07-20,"THEME|Biotech, THEME|Defense, THEME|Insurance"
2012-07-27,"THEME|Biotech, THEME|Defense, THEME|Insurance"
2012-08-03,"THEME|Semiconductors, THEME|Insurance, THEME|Defense"
2012-08-10,"THEME|Semiconductors, THEME|Insurance, THEME|Defense"
2012-08-17,"THEME|Semiconductors, THEME|Insurance, THEME|Defense"
2012-08-24,"THEME|Uranium & Nuclear, THEME|Insurance, THEME|Semiconductors"
2012-08-31,"THEME|Gold & Precious Metals Miners, THEME|Healthcare Providers, THEME|Insurance"
2012-09-07,"THEME|Gold & Precious Metals Miners, THEME|Healthcare Providers, THEME|Insurance"
2012-09-14,"THEME|Gold & Precious Metals Miners, THEME|Energy Producers, THEME|Insurance"
2012-09-21,"THEME|Gold & Precious Metals Miners, THEME|Energy Producers, THEME|Insurance"
2012-09-28,"THEME|Gold & Precious Metals Miners, THEME|Medical Devices, THEME|Insurance"
2012-10-05,"THEME|Gold & Precious Metals Miners, THEME|Medical Devices, THEME|Insurance"
2012-10-12,"THEME|Insurance, THEME|Healthcare Providers, THEME|Gold & Precious Metals Miners"
2012-10-19,"THEME|Insurance, THEME|Healthcare Providers, THEME|Gold & Precious Metals Miners"
2012-10-26,"THEME|Insurance, THEME|Healthcare Providers, THEME|Gold & Precious Metals Miners"
2012-11-02,"THEME|Gold & Precious Metals Miners, THEME|Insurance, THEME|Healthcare Providers"
2012-11-09,"THEME|Gold & Precious Metals Miners, THEME|Healthcare Providers, THEME|Insurance"
2012-11-16,"THEME|Medical Devices, THEME|Insurance, THEME|Healthcare Providers"
2012-11-23,"THEME|Medical Devices, THEME|Insurance, THEME|Healthcare Providers"
2012-11-30,"THEME|Medical Devices, THEME|Insurance, THEME|Healthcare Providers"
2012-12-07,"THEME|Medical Devices, THEME|Insurance, THEME|Healthcare Providers"
2012-12-14,"THEME|Medical Devices, THEME|Healthcare Providers, THEME|Insurance"
2012-12-21,"THEME|Medical Devices, THEME|Healthcare Providers, THEME|Insurance"
2012-12-28,"THEME|Medical Devices, THEME|Insurance, THEME|Healthcare Providers"
2013-01-04,"THEME|Clean Energy, THEME|Insurance, THEME|Medical Devices"
2013-01-11,"THEME|Clean Energy, THEME|Medical Devices, THEME|Insurance"
2013-01-18,"THEME|Medical Devices, THEME|Clean Energy, THEME|Insurance"
2013-01-25,"THEME|Medical Devices, THEME|Healthcare Providers, THEME|Insurance"
2013-02-01,"THEME|Medical Devices, THEME|Insurance, THEME|Healthcare Providers"
2013-02-08,"THEME|Healthcare Providers, THEME|Medical Devices, THEME|Insurance"
2013-02-15,"THEME|Medical Devices, THEME|Insurance, THEME|Healthcare Providers"
2013-02-22,"THEME|Insurance, THEME|Medical Devices, THEME|Healthcare Providers"
2013-03-01,"THEME|Food & Beverage, THEME|Medical Devices, THEME|Insurance"
2013-03-08,"THEME|Insurance, THEME|Food & Beverage, THEME|Medical Devices"
2013-03-15,"THEME|Insurance, THEME|Food & Beverage, THEME|Medical Devices"
2013-03-22,"THEME|Food & Beverage, THEME|Insurance, THEME|Medical Devices"
2013-03-28,"THEME|Food & Beverage, THEME|Insurance, THEME|Medical Devices"
2013-04-05,"THEME|Food & Beverage, THEME|Medical Devices, THEME|Insurance"
2013-04-12,"THEME|Food & Beverage, THEME|Insurance, THEME|Medical Devices"
2013-04-19,"THEME|Food & Beverage, THEME|Insurance, THEME|Medical Devices"
2013-04-26,"THEME|Insurance, THEME|Food & Beverage, THEME|Medical Devices"
2013-05-03,"THEME|Clean Energy, THEME|Insurance, THEME|Medical Devices"
2013-05-10,"THEME|Clean Energy, THEME|Insurance, THEME|Medical Devices"
2013-05-17,"THEME|Clean Energy, THEME|Medical Devices, THEME|Insurance"
2013-05-24,"THEME|Clean Energy, THEME|Medical Devices, THEME|Insurance"
2013-05-31,"THEME|Clean Energy, THEME|Biotech, THEME|Medical Devices"
2013-06-07,"THEME|Clean Energy, THEME|Medical Devices, THEME|Biotech"
2013-06-14,"THEME|Healthcare Providers, THEME|Medical Devices, THEME|Clean Energy"
2013-06-21,"THEME|Healthcare Providers, THEME|Clean Energy, THEME|Medical Devices"
2013-06-28,"THEME|Healthcare Providers, THEME|Medical Devices, THEME|Clean Energy"
2013-07-05,"THEME|Healthcare Providers, THEME|Medical Devices, THEME|Clean Energy"
2013-07-12,"THEME|Healthcare Providers, THEME|Clean Energy, THEME|Medical Devices"
2013-07-19,"THEME|Healthcare Providers, THEME|Clean Energy, THEME|Medical Devices"
2013-07-26,"THEME|Biotech, THEME|Healthcare Providers, THEME|Clean Energy"
2013-08-02,"THEME|Biotech, THEME|Healthcare Providers, THEME|Clean Energy"
2013-08-09,"THEME|Healthcare Providers, THEME|Biotech, THEME|Clean Energy"
2013-08-16,"THEME|Clean Energy, THEME|Healthcare Providers, THEME|Biotech"
2013-08-23,"THEME|Gold & Precious Metals Miners, THEME|Biotech, THEME|Clean Energy"
2013-08-30,"THEME|Biotech, THEME|Defense, THEME|Gold & Precious Metals Miners"
2013-09-06,"THEME|Biotech, THEME|Defense, THEME|Gold & Precious Metals Miners"
2013-09-13,"THEME|Biotech, THEME|Lithium & Battery, THEME|Defense"
2013-09-20,"THEME|Lithium & Battery, THEME|Defense, THEME|Biotech"
2013-09-27,"THEME|Lithium & Battery, THEME|Defense, THEME|Biotech"
2013-10-04,"THEME|Clean Energy, THEME|Lithium & Battery, THEME|Biotech"
2013-10-11,"THEME|Clean Energy, THEME|Healthcare Providers, THEME|Lithium & Battery"
2013-10-18,"THEME|Clean Energy, THEME|Healthcare Providers, THEME|Lithium & Battery"
2013-10-25,"THEME|Clean Energy, THEME|Defense, THEME|Lithium & Battery"
2013-11-01,"THEME|Defense, THEME|Medical Devices, THEME|Clean Energy"
2013-11-08,"THEME|Defense, THEME|Medical Devices, THEME|Clean Energy"
2013-11-15,"THEME|Defense, THEME|Clean Energy, THEME|Medical Devices"
2013-11-22,"THEME|Defense, THEME|Medical Devices, THEME|Clean Energy"
2013-11-29,"THEME|Healthcare Providers, THEME|Defense, THEME|Medical Devices"
2013-12-06,"THEME|Healthcare Providers, THEME|Defense, THEME|Medical Devices"
2013-12-13,"THEME|Defense, THEME|Semiconductors, THEME|Medical Devices"
2013-12-20,"THEME|Defense, THEME|Semiconductors, THEME|Medical Devices"
2013-12-27,"THEME|Defense, THEME|Semiconductors, THEME|Medical Devices"
2014-01-03,"THEME|Defense, THEME|Semiconductors, THEME|Medical Devices"
2014-01-10,"THEME|Medical Devices, THEME|Defense, THEME|Semiconductors"
2014-01-17,"THEME|Medical Devices, THEME|Defense, THEME|Semiconductors"
2014-01-24,"THEME|Defense, THEME|Medical Devices, THEME|Semiconductors"
2014-01-31,"THEME|Defense, THEME|Medical Devices, THEME|Semiconductors"
2014-02-07,"THEME|Semiconductors, THEME|Medical Devices, THEME|Defense"
2014-02-14,"THEME|Semiconductors, THEME|Medical Devices, THEME|Defense"
2014-02-21,"THEME|Semiconductors, THEME|Medical Devices, THEME|Defense"
2014-02-28,"THEME|Uranium & Nuclear, THEME|Semiconductors, THEME|Defense"
2014-03-07,"THEME|Uranium & Nuclear, THEME|Defense, THEME|Semiconductors"
2014-03-14,"THEME|Uranium & Nuclear, THEME|Semiconductors, THEME|Defense"
2014-03-21,"THEME|Semiconductors, THEME|Food & Beverage, THEME|Uranium & Nuclear"
2014-03-28,"THEME|Semiconductors, THEME|Food & Beverage, THEME|Uranium & Nuclear"
2014-04-04,"THEME|Semiconductors, THEME|Uranium & Nuclear, THEME|Food & Beverage"
2014-04-11,"THEME|Semiconductors, THEME|Food & Beverage, THEME|Uranium & Nuclear"
2014-04-17,"THEME|Energy Producers, THEME|Semiconductors, THEME|Food & Beverage"
2014-04-25,"THEME|Energy Producers, THEME|Semiconductors, THEME|Food & Beverage"
2014-05-02,"THEME|Energy Producers, THEME|Semiconductors, THEME|Food & Beverage"
2014-05-09,"THEME|Energy Producers, THEME|Semiconductors, THEME|Food & Beverage"
2014-05-16,"THEME|Semiconductors, THEME|Energy Producers, THEME|Food & Beverage"
2014-05-23,"THEME|Semiconductors, THEME|Energy Producers, THEME|Food & Beverage"
2014-05-30,"THEME|Semiconductors, THEME|Energy Producers, THEME|Food & Beverage"
2014-06-06,"THEME|Semiconductors, THEME|Energy Producers, THEME|Food & Beverage"
2014-06-13,"THEME|Biotech, THEME|Semiconductors, THEME|Energy Producers"
2014-06-20,"THEME|Biotech, THEME|Energy Producers, THEME|Semiconductors"
2014-06-27,"THEME|Biotech, THEME|Energy Producers, THEME|Semiconductors"
2014-07-03,"THEME|Biotech, THEME|Semiconductors, THEME|Energy Producers"
2014-07-11,"THEME|Semiconductors, THEME|Energy Producers, THEME|Biotech"
2014-07-18,"THEME|Gold & Precious Metals Miners, THEME|Semiconductors, THEME|Energy Producers"
2014-07-25,"THEME|Healthcare Providers, THEME|Gold & Precious Metals Miners, THEME|Energy Producers"
