date,sectors
2009-10-30,"THEME|Insurance, THEME|Defense, THEME|Gold & Precious Metals Miners, THEME|Semiconductors"
2009-11-30,"THEME|Gold & Precious Metals Miners, THEME|Defense, THEME|Insurance, THEME|Semiconductors"
2009-12-31,"THEME|Semiconductors, THEME|Biotech, THEME|Defense, THEME|Insurance"
2010-01-29,"THEME|Biotech, THEME|Defense, THEME|Insurance, THEME|Semiconductors"
2010-02-26,"THEME|Defense, THEME|Insurance, THEME|Biotech, THEME|Semiconductors"
2010-03-31,"THEME|Insurance, THEME|Defense, THEME|Semiconductors, THEME|Biotech"
2010-04-30,"THEME|Gold & Precious Metals Miners, THEME|Defense, THEME|Insurance, THEME|Semiconductors"
2010-05-28,"THEME|Gold & Precious Metals Miners, THEME|Semiconductors, THEME|Insurance, THEME|Defense"
2010-06-30,"THEME|Gold & Precious Metals Miners, THEME|Defense, THEME|Insurance, THEME|Semiconductors"
2010-07-30,"THEME|Food & Beverage, THEME|Insurance, THEME|Defense, THEME|Semiconductors"
2010-08-31,"THEME|Gold & Precious Metals Miners, THEME|Food & Beverage, THEME|Insurance, THEME|Defense"
2010-09-30,"THEME|Biotech, THEME|Lithium & Battery, THEME|Gold & Precious Metals Miners, THEME|Defense"
2010-10-29,"THEME|Lithium & Battery, THEME|Semiconductors, THEME|Defense, THEME|Gold & Precious Metals Miners"
2010-11-30,"THEME|Semiconductors, THEME|Lithium & Battery, THEME|Gold & Precious Metals Miners, THEME|Defense"
2010-12-31,"THEME|Lithium & Battery, THEME|Uranium & Nuclear, THEME|Semiconductors, THEME|Gold & Precious Metals Miners"
2011-01-31,"THEME|Semiconductors, THEME|Defense, THEME|Uranium & Nuclear, THEME|Lithium & Battery"
2011-02-28,"THEME|Healthcare Providers, THEME|Semiconductors, THEME|Defense, THEME|Lithium & Battery"
2011-03-31,"THEME|Clean Energy, THEME|Healthcare Providers, THEME|Defense, THEME|Semiconductors"
2011-04-29,"THEME|Biotech, THEME|Healthcare Providers, THEME|Semiconductors, THEME|Defense"
2011-05-31,"THEME|Biotech, THEME|Healthcare Providers, THEME|Defense, THEME|Semiconductors"
2011-06-30,"THEME|Biotech, THEME|Defense, THEME|Healthcare Providers, THEME|Semiconductors"
2011-07-29,"THEME|Gold & Precious Metals Miners, THEME|Biotech, THEME|Defense, THEME|Healthcare Providers"
2011-08-31,"THEME|Gold & Precious Metals Miners, THEME|Defense, THEME|Healthcare Providers, THEME|Biotech"
2011-09-30,"THEME|Defense, THEME|Biotech, THEME|Healthcare Providers, THEME|Gold & Precious Metals Miners"
2011-10-31,"THEME|Healthcare Providers, THEME|Gold & Precious Metals Miners, THEME|Biotech, THEME|Defense"
2011-11-30,"THEME|Biotech, THEME|Defense, THEME|Healthcare Providers, THEME|Gold & Precious Metals Miners"
2011-12-30,"THEME|Biotech, THEME|Healthcare Providers, THEME|Insurance, THEME|Defense"
2012-01-31,"THEME|Biotech, THEME|Uranium & Nuclear, THEME|Defense, THEME|Healthcare Providers"
2012-02-29,"THEME|Uranium & Nuclear, THEME|Healthcare Providers, THEME|Defense, THEME|Biotech"
2012-03-30,"THEME|Biotech, THEME|Semiconductors, THEME|Healthcare Providers, THEME|Defense"
2012-04-30,"THEME|Biotech, THEME|Defense, THEME|Healthcare Providers, THEME|Semiconductors"
2012-05-31,"THEME|Biotech, THEME|Healthcare Providers, THEME|Defense, THEME|Semiconductors"
2012-06-29,"THEME|Biotech, THEME|Healthcare Providers, THEME|Defense, THEME|Semiconductors"
2012-07-31,"THEME|Biotech, THEME|Semiconductors, THEME|Defense, THEME|Healthcare Providers"
2012-08-31,"THEME|Gold & Precious Metals Miners, THEME|Healthcare Providers, THEME|Biotech, THEME|Lithium & Battery"
2012-09-28,"THEME|Gold & Precious Metals Miners, THEME|Biotech, THEME|Healthcare Providers, THEME|Lithium & Battery"
2012-10-31,"THEME|Gold & Precious Metals Miners, THEME|Insurance, THEME|Healthcare Providers, THEME|Lithium & Battery"
2012-11-30,"THEME|Defense, THEME|Biotech, THEME|Insurance, THEME|Healthcare Providers"
2012-12-31,"THEME|Clean Energy, THEME|Defense, THEME|Insurance, THEME|Healthcare Providers"
2013-01-31,"THEME|Insurance, THEME|Healthcare Providers, THEME|Clean Energy, THEME|Defense"
2013-02-28,"THEME|Insurance, THEME|Defense, THEME|Clean Energy, THEME|Healthcare Providers"
2013-03-28,"THEME|Healthcare Providers, THEME|Insurance, THEME|Defense, THEME|Clean Energy"
2013-04-30,"THEME|Clean Energy, THEME|Insurance, THEME|Defense, THEME|Healthcare Providers"
2013-05-31,"THEME|Clean Energy, THEME|Defense, THEME|Healthcare Providers, THEME|Insurance"
2013-06-28,"THEME|Healthcare Providers, THEME|Defense, THEME|Insurance, THEME|Clean Energy"
2013-07-31,"THEME|Defense, THEME|Healthcare Providers, THEME|Clean Energy, THEME|Insurance"
2013-08-30,"THEME|Biotech, THEME|Defense, THEME|Insurance, THEME|Healthcare Providers"
2013-09-30,"THEME|Clean Energy, THEME|Biotech, THEME|Defense, THEME|Insurance"
2013-10-31,"THEME|Defense, THEME|Clean Energy, THEME|Semiconductors, THEME|Insurance"
2013-11-29,"THEME|Defense, THEME|Insurance, THEME|Clean Energy, THEME|Semiconductors"
2013-12-31,"THEME|Defense, THEME|Semiconductors, THEME|Biotech, THEME|Insurance"
2014-01-31,"THEME|Biotech, THEME|Uranium & Nuclear, THEME|Defense, THEME|Semiconductors"
2014-02-28,"THEME|Uranium & Nuclear, THEME|Biotech, THEME|Lithium & Battery, THEME|Semiconductors"
2014-03-31,"THEME|Semiconductors, THEME|Healthcare Providers, THEME|Food & Beverage, THEME|Uranium & Nuclear"
2014-04-30,"THEME|Semiconductors, THEME|Insurance, THEME|Food & Beverage, THEME|Healthcare Providers"
2014-05-30,"THEME|Semiconductors, THEME|Healthcare Providers, THEME|Food & Beverage, THEME|Insurance"
2014-06-30,"THEME|Semiconductors, THEME|Healthcare Providers, THEME|Insurance, THEME|Food & Beverage"
2014-07-31,"THEME|Healthcare Providers, THEME|Gold & Precious Metals Miners, THEME|Uranium & Nuclear, THEME|Semiconductors"
2014-08-29,"THEME|Biotech, THEME|Healthcare Providers, THEME|Semiconductors, THEME|Food & Beverage"
2014-09-30,"THEME|Semiconductors, THEME|Food & Beverage, THEME|Biotech, THEME|Healthcare Providers"
2014-10-31,"THEME|Biotech, THEME|Semiconductors, THEME|Food & Beverage, THEME|Healthcare Providers"
2014-11-28,"THEME|Biotech, THEME|Semiconductors, THEME|Healthcare Providers, THEME|Food & Beverage"
2014-12-31,"THEME|Healthcare Providers, THEME|Biotech, THEME|Semiconductors, THEME|Food & Beverage"
2015-01-30,"THEME|Biotech, THEME|Healthcare Providers, THEME|Food & Beverage, THEME|Semiconductors"
2015-02-27,"THEME|Biotech, THEME|Healthcare Providers, THEME|Semiconductors, THEME|Food & Beverage"
2015-03-31,"THEME|Healthcare Providers, THEME|Food & Beverage, THEME|Biotech, THEME|Semiconductors"
2015-04-30,"THEME|Uranium & Nuclear, THEME|Healthcare Providers, THEME|Food & Beverage, THEME|Semiconductors"
2015-05-29,"THEME|Biotech, THEME|Healthcare Providers, THEME|Semiconductors, THEME|Food & Beverage"
2015-06-30,"THEME|Biotech, THEME|Healthcare Providers, THEME|Food & Beverage, THEME|Semiconductors"
2015-07-31,"THEME|Biotech, THEME|Food & Beverage, THEME|Healthcare Providers, THEME|Semiconductors"
2015-08-31,"THEME|Food & Beverage, THEME|Healthcare Providers, THEME|Semiconductors, THEME|Biotech"
2015-09-30,"THEME|Food & Beverage, THEME|Insurance, THEME|Semiconductors, THEME|Healthcare Providers"
2015-10-30,"THEME|Semiconductors, THEME|Insurance, THEME|Lithium & Battery, THEME|Food & Beverage"
2015-11-30,"THEME|Semiconductors, THEME|Insurance, THEME|Food & Beverage, THEME|Lithium & Battery"
2015-12-31,"THEME|Biotech, THEME|Clean Energy, THEME|Lithium & Battery, THEME|Semiconductors"
2016-01-29,"THEME|Gold & Precious Metals Miners, THEME|Food & Beverage, THEME|Semiconductors, THEME|Clean Energy"
2016-02-29,"THEME|Gold & Precious Metals Miners, THEME|Healthcare Providers, THEME|Semiconductors, THEME|Food & Beverage"
2016-03-31,"THEME|Uranium & Nuclear, THEME|Gold & Precious Metals Miners, THEME|Lithium & Battery, THEME|Semiconductors"
2016-04-29,"THEME|Gold & Precious Metals Miners, THEME|Lithium & Battery, THEME|Healthcare Providers, THEME|Uranium & Nuclear"
2016-05-31,"THEME|Biotech, THEME|Lithium & Battery, THEME|Semiconductors, THEME|Gold & Precious Metals Miners"
2016-06-30,"THEME|Gold & Precious Metals Miners, THEME|Lithium & Battery, THEME|Food & Beverage, THEME|Semiconductors"
2016-07-29,"THEME|Biotech, THEME|Semiconductors, THEME|Gold & Precious Metals Miners, THEME|Food & Beverage"
2016-08-31,"THEME|Semiconductors, THEME|Cybersecurity, THEME|Insurance, THEME|Food & Beverage"
2016-09-30,"THEME|Biotech, THEME|Semiconductors, THEME|Cybersecurity, THEME|Insurance"
2016-10-31,"THEME|Semiconductors, THEME|Cybersecurity, THEME|Defense, THEME|Insurance"
2016-11-30,"THEME|Defense, THEME|Semiconductors, THEME|Insurance, THEME|Cybersecurity"
2016-12-30,"THEME|Semiconductors, THEME|Insurance, THEME|Defense, THEME|Cybersecurity"
2017-01-31,"THEME|Semiconductors, THEME|Cybersecurity, THEME|Defense, THEME|Insurance"
2017-02-28,"THEME|Biotech, THEME|Defense, THEME|Cybersecurity, THEME|Semiconductors"
2017-03-31,"THEME|Artificial Intelligence & Robotics, THEME|Cybersecurity, THEME|Semiconductors, THEME|Biotech"
2017-04-28,"THEME|Biotech, THEME|Artificial Intelligence & Robotics, THEME|Defense, THEME|Semiconductors"
2017-05-31,"THEME|Semiconductors, THEME|Lithium & Battery, THEME|Artificial Intelligence & Robotics, THEME|Defense"
2017-06-30,"THEME|Biotech, THEME|Artificial Intelligence & Robotics, THEME|Defense, THEME|Lithium & Battery"
2017-07-31,"THEME|Artificial Intelligence & Robotics, THEME|Biotech, THEME|Lithium & Battery, THEME|Defense"
2017-08-31,"THEME|Biotech, THEME|Lithium & Battery, THEME|Artificial Intelligence & Robotics, THEME|Defense"
2017-09-29,"THEME|Lithium & Battery, THEME|Defense, THEME|Artificial Intelligence & Robotics, THEME|Biotech"
2017-10-31,"THEME|Artificial Intelligence & Robotics, THEME|Semiconductors, THEME|Lithium & Battery, THEME|Defense"
2017-11-30,"THEME|Artificial Intelligence & Robotics, THEME|Lithium & Battery, THEME|Defense, THEME|Semiconductors"
2017-12-29,"THEME|Lithium & Battery, THEME|Gold & Precious Metals Miners, THEME|Defense, THEME|Artificial Intelligence & Robotics"
2018-01-31,"THEME|Biotech, THEME|Artificial Intelligence & Robotics, THEME|Defense, THEME|Healthcare Providers"
2018-02-28,"THEME|Defense, THEME|Biotech, THEME|Artificial Intelligence & Robotics, THEME|Healthcare Providers"
2018-03-29,"THEME|Gold & Precious Metals Miners, THEME|Clean Energy, THEME|Defense, THEME|Healthcare Providers"
2018-04-30,"THEME|Cybersecurity, THEME|Clean Energy, THEME|Healthcare Providers, THEME|Gold & Precious Metals Miners"
2018-05-31,"THEME|Healthcare Providers, THEME|Biotech, THEME|Cybersecurity, THEME|Gold & Precious Metals Miners"
2018-06-29,"THEME|Healthcare Providers, THEME|Biotech, THEME|Cybersecurity, THEME|Gold & Precious Metals Miners"
2018-07-31,"THEME|Defense, THEME|Healthcare Providers, THEME|Insurance, THEME|Biotech"
2018-08-31,"THEME|Healthcare Providers, THEME|Biotech, THEME|Defense, THEME|Insurance"
2018-09-28,"THEME|Uranium & Nuclear, THEME|Healthcare Providers, THEME|Defense, THEME|Insurance"
2018-10-31,"THEME|Healthcare Providers, THEME|Food & Beverage, THEME|Insurance, THEME|Defense"
2018-11-30,"THEME|Clean Energy, THEME|Healthcare Providers, THEME|Food & Beverage, THEME|Insurance"
2018-12-31,"THEME|Gold & Precious Metals Miners, THEME|Insurance, THEME|Clean Energy, THEME|Food & Beverage"
2019-01-31,"THEME|Gold & Precious Metals Miners, THEME|Clean Energy, THEME|Quantum Computing, THEME|Semiconductors"
2019-02-28,"THEME|Quantum Computing, THEME|Clean Energy, THEME|Semiconductors, THEME|Gold & Precious Metals Miners"
2019-03-29,"THEME|Semiconductors, THEME|Gold & Precious Metals Miners, THEME|Artificial Intelligence & Robotics, THEME|Quantum Computing"
2019-04-30,"THEME|Semiconductors, THEME|Cybersecurity, THEME|Artificial Intelligence & Robotics, THEME|Quantum Computing"
2019-05-31,"THEME|Clean Energy, THEME|Insurance, THEME|Gold & Precious Metals Miners, THEME|Cybersecurity"
2019-06-28,"THEME|Gold & Precious Metals Miners, THEME|Blockchain & Crypto, THEME|Clean Energy, THEME|Insurance"
2019-07-31,"THEME|Gold & Precious Metals Miners, THEME|Blockchain & Crypto, THEME|Insurance, THEME|Clean Energy"
2019-08-30,"THEME|Gold & Precious Metals Miners, THEME|Defense, THEME|Clean Energy, THEME|Blockchain & Crypto"
2019-09-30,"THEME|Defense, THEME|Insurance, THEME|Quantum Computing, THEME|Gold & Precious Metals Miners"
2019-10-31,"THEME|Semiconductors, THEME|Artificial Intelligence & Robotics, THEME|Quantum Computing, THEME|Gold & Precious Metals Miners"
2019-11-29,"THEME|Biotech, THEME|Semiconductors, THEME|Quantum Computing, THEME|Artificial Intelligence & Robotics"
2019-12-31,"THEME|Healthcare Providers, THEME|Semiconductors, THEME|Quantum Computing, THEME|Biotech"
2020-01-31,"THEME|Clean Energy, THEME|Lithium & Battery, THEME|Semiconductors, THEME|Quantum Computing"
2020-02-28,"THEME|Clean Energy, THEME|Lithium & Battery, THEME|Gold & Precious Metals Miners, THEME|Semiconductors"
2020-03-31,"THEME|Cybersecurity, THEME|Artificial Intelligence & Robotics, THEME|Semiconductors, THEME|Gold & Precious Metals Miners"
2020-04-30,"THEME|Gold & Precious Metals Miners, THEME|Biotech, THEME|Artificial Intelligence & Robotics, THEME|Semiconductors"
2020-05-29,"THEME|Artificial Intelligence & Robotics, THEME|Lithium & Battery, THEME|Biotech, THEME|Gold & Precious Metals Miners"
2020-06-30,"THEME|Biotech, THEME|Gold & Precious Metals Miners, THEME|Lithium & Battery, THEME|Artificial Intelligence & Robotics"
2020-07-31,"THEME|Gold & Precious Metals Miners, THEME|Blockchain & Crypto, THEME|Lithium & Battery, THEME|Artificial Intelligence & Robotics"
2020-08-31,"THEME|Blockchain & Crypto, THEME|Lithium & Battery, THEME|Gold & Precious Metals Miners, THEME|Artificial Intelligence & Robotics"
2020-09-30,"THEME|Clean Energy, THEME|Lithium & Battery, THEME|Artificial Intelligence & Robotics, THEME|Blockchain & Crypto"
2020-10-30,"THEME|Lithium & Battery, THEME|Clean Energy, THEME|Blockchain & Crypto, THEME|Artificial Intelligence & Robotics"
2020-11-30,"THEME|Clean Energy, THEME|Blockchain & Crypto, THEME|Lithium & Battery, THEME|Quantum Computing"
2020-12-31,"THEME|Clean Energy, THEME|Blockchain & Crypto, THEME|Lithium & Battery, THEME|Quantum Computing"
2021-01-29,"THEME|Lithium & Battery, THEME|Blockchain & Crypto, THEME|Clean Energy, THEME|Quantum Computing"
2021-02-26,"THEME|Blockchain & Crypto, THEME|Uranium & Nuclear, THEME|Semiconductors, THEME|Quantum Computing"
2021-03-31,"THEME|Blockchain & Crypto, THEME|Uranium & Nuclear, THEME|Data Centers & Digital Infra, THEME|Semiconductors"
2021-04-30,"THEME|Data Centers & Digital Infra, THEME|Insurance, THEME|Uranium & Nuclear, THEME|Lithium & Battery"
2021-05-28,"THEME|Uranium & Nuclear, THEME|Gold & Precious Metals Miners, THEME|Lithium & Battery, THEME|Semiconductors"
2021-06-30,"THEME|Lithium & Battery, THEME|Space, THEME|Semiconductors, THEME|Cybersecurity"
2021-07-30,"THEME|Lithium & Battery, THEME|Cybersecurity, THEME|Semiconductors, THEME|Quantum Computing"
2021-08-31,"THEME|Lithium & Battery, THEME|Cybersecurity, THEME|Semiconductors, THEME|Quantum Computing"
2021-09-30,"THEME|Uranium & Nuclear, THEME|Lithium & Battery, THEME|Quantum Computing, THEME|Cybersecurity"
2021-10-29,"THEME|Uranium & Nuclear, THEME|Lithium & Battery, THEME|Cybersecurity, THEME|Quantum Computing"
2021-11-30,"THEME|Semiconductors, THEME|Lithium & Battery, THEME|Quantum Computing, THEME|Cybersecurity"
2021-12-31,"THEME|Semiconductors, THEME|Cybersecurity, THEME|Quantum Computing"
2022-01-31,"THEME|Insurance, THEME|Food & Beverage, THEME|Cybersecurity, THEME|Quantum Computing"
2022-02-28,"THEME|Cybersecurity, THEME|Insurance, THEME|Food & Beverage"
2022-03-31,"THEME|Uranium & Nuclear, THEME|Cybersecurity, THEME|Insurance, THEME|Food & Beverage"
2022-04-29,"THEME|Food & Beverage, THEME|Insurance, THEME|Cybersecurity"
2022-05-31,"THEME|Lithium & Battery, THEME|Insurance, THEME|Food & Beverage"
2022-06-30,"THEME|Biotech, THEME|Lithium & Battery, THEME|Food & Beverage, THEME|Insurance"
2022-07-29,"THEME|Clean Energy, THEME|Uranium & Nuclear, THEME|Biotech, THEME|Lithium & Battery"
2022-08-31,"THEME|Uranium & Nuclear, THEME|Clean Energy, THEME|Biotech, THEME|Lithium & Battery"
2022-09-30,"THEME|Healthcare Providers, THEME|Biotech, THEME|Uranium & Nuclear, THEME|Lithium & Battery"
2022-10-31,"THEME|Defense, THEME|Healthcare Providers, THEME|Biotech, THEME|Uranium & Nuclear"
2022-11-30,"THEME|Gold & Precious Metals Miners, THEME|Insurance, THEME|Defense, THEME|Healthcare Providers"
2022-12-30,"THEME|Gold & Precious Metals Miners, THEME|Defense, THEME|Insurance, THEME|Biotech"
2023-01-31,"THEME|Gold & Precious Metals Miners, THEME|Artificial Intelligence & Robotics, THEME|Uranium & Nuclear, THEME|Semiconductors"
2023-02-28,"THEME|Artificial Intelligence & Robotics, THEME|Defense, THEME|Semiconductors"
2023-03-31,"THEME|Artificial Intelligence & Robotics, THEME|Gold & Precious Metals Miners, THEME|Semiconductors, THEME|Defense"
2023-04-28,"THEME|Gold & Precious Metals Miners, THEME|Artificial Intelligence & Robotics, THEME|Food & Beverage, THEME|Defense"
2023-05-31,"THEME|Semiconductors, THEME|Artificial Intelligence & Robotics, THEME|Quantum Computing, THEME|Cybersecurity"
2023-06-30,"THEME|Semiconductors, THEME|Quantum Computing, THEME|Artificial Intelligence & Robotics, THEME|Cybersecurity"
2023-07-31,"THEME|Blockchain & Crypto, THEME|Semiconductors, THEME|Quantum Computing, THEME|Cybersecurity"
2023-08-31,"THEME|Uranium & Nuclear, THEME|Cybersecurity, THEME|Semiconductors, THEME|Quantum Computing"
2023-09-29,"THEME|Uranium & Nuclear, THEME|Cybersecurity, THEME|Semiconductors, THEME|Quantum Computing"
2023-10-31,"THEME|Uranium & Nuclear, THEME|Insurance, THEME|Cybersecurity"
2023-11-30,"THEME|Blockchain & Crypto, THEME|Uranium & Nuclear, THEME|Cybersecurity, THEME|Insurance"
2023-12-29,"THEME|Blockchain & Crypto, THEME|Biotech, THEME|Cybersecurity"
2024-01-31,"THEME|Semiconductors, THEME|Cybersecurity, THEME|Uranium & Nuclear, THEME|Biotech"
2024-02-29,"THEME|Blockchain & Crypto, THEME|Biotech, THEME|Semiconductors, THEME|Artificial Intelligence & Robotics"
2024-03-28,"THEME|Blockchain & Crypto, THEME|Gold & Precious Metals Miners, THEME|Semiconductors, THEME|Artificial Intelligence & Robotics"
2024-04-30,"THEME|Gold & Precious Metals Miners, THEME|Semiconductors, THEME|Artificial Intelligence & Robotics, THEME|Blockchain & Crypto"
2024-05-31,"THEME|Semiconductors, THEME|Blockchain & Crypto, THEME|Gold & Precious Metals Miners"
2024-06-28,"THEME|Semiconductors, THEME|Blockchain & Crypto, THEME|Gold & Precious Metals Miners"
2024-07-31,"THEME|Space, THEME|Defense, THEME|Blockchain & Crypto, THEME|Gold & Precious Metals Miners"
2024-08-30,"THEME|Space, THEME|Insurance, THEME|Gold & Precious Metals Miners, THEME|Defense"
2024-09-30,"THEME|Lithium & Battery, THEME|Gold & Precious Metals Miners, THEME|Defense, THEME|Space"
2024-10-31,"THEME|Blockchain & Crypto, THEME|Gold & Precious Metals Miners, THEME|Lithium & Battery, THEME|Space"
2024-11-29,"THEME|Space, THEME|Blockchain & Crypto, THEME|Quantum Computing, THEME|Uranium & Nuclear"
2024-12-31,"THEME|Quantum Computing, THEME|Space, THEME|Cybersecurity, THEME|Blockchain & Crypto"
2025-01-31,"THEME|Space, THEME|Blockchain & Crypto, THEME|Quantum Computing, THEME|Cybersecurity"
2025-02-28,"THEME|Data Centers & Digital Infra, THEME|Insurance, THEME|Quantum Computing, THEME|Cybersecurity"
2025-03-31,"THEME|Gold & Precious Metals Miners, THEME|Insurance, THEME|Healthcare Providers, THEME|Cybersecurity"
2025-04-30,"THEME|Gold & Precious Metals Miners, THEME|Blockchain & Crypto, THEME|Cybersecurity, THEME|Clean Energy"
2025-05-30,"THEME|Blockchain & Crypto, THEME|Gold & Precious Metals Miners, THEME|Cybersecurity, THEME|Clean Energy"
2025-06-30,"THEME|Uranium & Nuclear, THEME|Space, THEME|Blockchain & Crypto, THEME|Cybersecurity"
2025-07-31,"THEME|Uranium & Nuclear, THEME|Blockchain & Crypto, THEME|Defense, THEME|Lithium & Battery"
2025-08-29,"THEME|Lithium & Battery, THEME|Blockchain & Crypto, THEME|Uranium & Nuclear, THEME|Defense"
2025-09-30,"THEME|Lithium & Battery, THEME|Gold & Precious Metals Miners, THEME|Uranium & Nuclear, THEME|Blockchain & Crypto"
2025-10-31,"THEME|Lithium & Battery, THEME|Uranium & Nuclear, THEME|Semiconductors, THEME|Biotech"
2025-11-28,"THEME|Biotech, THEME|Gold & Precious Metals Miners, THEME|Lithium & Battery, THEME|Semiconductors"
2025-12-31,"THEME|Lithium & Battery, THEME|Gold & Precious Metals Miners, THEME|Biotech, THEME|Semiconductors"
2026-01-30,"THEME|Gold & Precious Metals Miners, THEME|Semiconductors, THEME|Lithium & Battery, THEME|Biotech"
2026-02-27,"THEME|Gold & Precious Metals Miners, THEME|Lithium & Battery, THEME|Semiconductors"
2026-03-31,"THEME|Lithium & Battery, THEME|Biotech, THEME|Semiconductors"
2026-04-30,"THEME|Semiconductors, THEME|Lithium & Battery, THEME|Quantum Computing, THEME|Data Centers & Digital Infra"
2026-05-29,"THEME|Semiconductors, THEME|Quantum Computing, THEME|Data Centers & Digital Infra, THEME|Lithium & Battery"
2026-06-30,"THEME|Semiconductors, THEME|Biotech, THEME|Quantum Computing, THEME|Data Centers & Digital Infra"
2026-07-31,"THEME|Insurance, THEME|Cybersecurity, THEME|Biotech"
